Wall time,Step,Value
1526390213.6622028,76,0.005880663171410561
1526390234.5111914,77,0.005881279241293669
1526390255.444257,78,0.005880727432668209
1526390276.3603077,79,0.005880171898752451
1526390297.009128,80,0.005878416355699301
1526390318.0142436,81,0.005878842901438475
1526390338.9242878,82,0.005879151169210672
1526390359.6761882,83,0.005878509487956762
1526390380.37504,84,0.005878630559891462
1526390401.0098336,85,0.0058788154274225235
1526390421.7547274,86,0.005878489464521408
1526390442.3514874,87,0.00587645685300231
1526390463.0743604,88,0.005878020077943802
1526390483.7251837,89,0.0058766501024365425
1526390504.497087,90,0.005876446608453989
1526390525.3280594,91,0.005876124370843172
1526390546.012898,92,0.005876451265066862
1526390566.7858179,93,0.005877499934285879
1526390587.4886744,94,0.0058782659471035
1526390608.1975496,95,0.0058756256476044655
1526390628.7792797,96,0.005874102935194969
1526390649.4260855,97,0.005875790491700172
1526390669.9147446,98,0.005876342300325632
1526390690.4144151,99,0.005875901784747839
1526390711.001165,100,0.005873907823115587
1526390731.808116,101,0.005874366499483585
1526390752.441909,102,0.005874439142644405
1526390773.082707,103,0.005875120405107737
1526390793.5173182,104,0.005875228904187679
1526390814.1110742,105,0.005874816793948412
1526390834.633766,106,0.0058743637055158615
1526390855.3246102,107,0.005872150417417288
1526390875.7812417,108,0.005874231923371553
1526390896.3499904,109,0.005873539485037327
1526390916.9757605,110,0.005872356705367565
1526390937.4724438,111,0.0058722770772874355
1526390958.1732824,112,0.005873093381524086
1526390978.9902422,113,0.005869878455996513
1526390999.443871,114,0.005872830282896757
1526391019.9195187,115,0.005871396046131849
1526391040.6944408,116,0.005870966240763664
1526391061.2431552,117,0.00587114505469799
1526391082.0240834,118,0.005872329697012901
1526391102.6909046,119,0.005871290806680918
1526391123.1385434,120,0.005870860535651445
1526391143.7342858,121,0.005872149020433426
1526391164.4511693,122,0.005871197674423456
1526391185.070934,123,0.005870229098945856
1526391205.836848,124,0.00587104819715023
1526391226.3825593,125,0.005869971122592688
1526391247.02536,126,0.005870925262570381
1526391267.6431394,127,0.005869296845048666
1526391288.1448104,128,0.005870477762073278
1526391309.1259198,129,0.0058685895055532455
1526391329.865809,130,0.005869787652045488
1526391350.4145238,131,0.005869782529771328
1526391371.1934493,132,0.005868956912308931
1526391391.60504,133,0.0058666919358074665
1526391412.0506606,134,0.0058678993955254555
1526391432.675445,135,0.005866940598934889
1526391453.2852159,136,0.005868132691830397
1526391474.0070894,137,0.005868835374712944
1526391494.7640088,138,0.0058671883307397366
1526391515.376767,139,0.005867823958396912
1526391535.8043873,140,0.0058671473525464535
1526391556.326063,141,0.005867090076208115
1526391577.040944,142,0.005866023246198893
1526391597.545605,143,0.005865579005330801
1526391618.102342,144,0.00586591474711895
1526391638.9012694,145,0.005864462815225124
1526391659.5590842,146,0.005864766892045736
1526391680.1057973,147,0.005866294261068106
1526391700.876715,148,0.005864810198545456
1526391721.6256123,149,0.0058660926297307014
1526391742.159314,150,0.00586531450971961
1526391762.9982934,151,0.00586411077529192
1526391783.844295,152,0.005864931736141443
1526391804.4380357,153,0.0058637638576328754
1526391825.044819,154,0.005863122642040253
1526391845.6685872,155,0.005863087251782417
1526391866.0731711,156,0.0058655752800405025
1526391886.490767,157,0.005863705649971962
1526391907.0835223,158,0.005862795282155275
1526391927.4800987,159,0.005861513316631317
1526391947.9097056,160,0.0058613973669707775
1526391968.4574199,161,0.005860121920704842
1526391989.084206,162,0.005860393866896629
1526392010.0172713,163,0.005860740318894386
1526392030.5950139,164,0.00586058059707284
1526392051.2568312,165,0.005861636716872454
1526392071.8185582,166,0.005859857890754938
1526392092.812679,167,0.005860412027686834
1526392113.7837791,168,0.005860759411007166
1526392134.3044841,169,0.005859185941517353
1526392154.9032292,170,0.005857710260897875
1526392175.7021725,171,0.00585979176685214
1526392196.122771,172,0.005858134012669325
1526392216.637455,173,0.005858059506863356
1526392237.1171072,174,0.005857348442077637
1526392257.7839308,175,0.005858216900378466
1526392278.245566,176,0.005858864635229111
1526392298.7292218,177,0.005859377793967724
1526392319.2859442,178,0.005858218763023615
1526392339.844684,179,0.005857235286384821
1526392360.2742755,180,0.005858707241714001
1526392380.837019,181,0.00585585180670023
1526392401.5658827,182,0.0058582862839102745
1526392422.1366327,183,0.005854725372046232
1526392442.8464797,184,0.005856243893504143
1526392463.3931932,185,0.005855392199009657
1526392483.9389052,186,0.005855146795511246
1526392504.4906235,187,0.005854607094079256
1526392524.9462538,188,0.0058547211810946465
1526392545.7642143,189,0.005853747949004173
1526392566.2758968,190,0.005853679962456226
1526392586.9277203,191,0.005853599403053522
1526392607.4453917,192,0.00585307227447629
1526392628.085205,193,0.005853444337844849
1526392648.6038778,194,0.005853044334799051
1526392668.9914615,195,0.005852762144058943
1526392689.633246,196,0.005854489281773567
1526392710.1359348,197,0.005853890907019377
1526392730.5935524,198,0.005852972622960806
1526392751.115242,199,0.005852295085787773
1526392771.7550404,200,0.005853075534105301
1526392792.2597156,201,0.005851993802934885
1526392812.9525616,202,0.005851131863892078
1526392833.6674283,203,0.005851039197295904
1526392854.2211475,204,0.005853163078427315
1526392875.1432037,205,0.005853067617863417
1526392895.825055,206,0.005849515553563833
1526392916.4768486,207,0.005851358640938997
1526392936.9284754,208,0.005852418020367622
1526392957.6783736,209,0.005851357709616423
1526392978.149018,210,0.005851906258612871
1526392998.7427742,211,0.005847316235303879
1526393019.4035912,212,0.005849448498338461
1526393039.7751453,213,0.005850613582879305
1526393061.0194943,214,0.005848725326359272
1526393081.517178,215,0.00584822241216898
1526393102.1489534,216,0.005849544890224934
1526393122.7397223,217,0.005849024280905724
1526393143.4345553,218,0.005849242676049471
1526393163.9072163,219,0.005848106928169727
1526393184.5860348,220,0.0058476184494793415
1526393205.0516894,221,0.005849236622452736
1526393225.6884706,222,0.005848798900842667
1526393246.1871393,223,0.005847451277077198
1526393266.8669739,224,0.005848998203873634
1526393287.2945943,225,0.005849888548254967
1526393307.763222,226,0.005848920904099941
1526393328.308933,227,0.005845575127750635
1526393349.5873284,228,0.005847504828125238
1526393370.0339355,229,0.005846243351697922
1526393390.7958467,230,0.0058471341617405415
1526393411.2945142,231,0.005847950000315905
1526393431.6880884,232,0.005846444983035326
1526393452.1927633,233,0.0058460659347474575
1526393472.9166377,234,0.0058478969149291515
1526393493.295199,235,0.005844722036272287
1526393513.7648416,236,0.005846621003001928
1526393534.2324827,237,0.0058450098149478436
1526393554.92633,238,0.005847415886819363
1526393575.6061647,239,0.0058455499820411205
1526393596.1458714,240,0.005844945088028908
1526393616.6936014,241,0.005845787934958935
1526393637.3123648,242,0.005843540653586388
1526393657.8090477,243,0.005846244283020496
1526393678.322717,244,0.005846404004842043
1526393698.7623317,245,0.005842902697622776
1526393719.2820206,246,0.005845144856721163
1526393739.90682,247,0.005842854734510183
1526393760.7577953,248,0.005843339022248983
1526393781.4076033,249,0.00584393972530961
1526393801.9232879,250,0.0058442759327590466
1526393822.4449937,251,0.005846200976520777
1526393843.043739,252,0.005844697821885347
1526393863.620495,253,0.0058439685963094234
1526393884.1081393,254,0.005842586047947407
1526393904.8460267,255,0.0058434708043932915
1526393925.7770903,256,0.005839675199240446
1526393946.3938675,257,0.005841128993779421
1526393967.045692,258,0.005841584876179695
1526393987.748532,259,0.005842431448400021
1526394008.3162644,260,0.005842762533575296
1526394028.9140244,261,0.0058414023369550705
1526394049.3726573,262,0.005845091305673122
1526394069.8443036,263,0.005841622594743967
1526394090.3860269,264,0.0058431122452020645
1526394110.9357274,265,0.005842766724526882
1526394131.6235693,266,0.005841545760631561
1526394152.1452599,267,0.00584205100312829
1526394172.643945,268,0.005839058663696051
1526394193.0094776,269,0.005839782766997814
1526394213.4290755,270,0.00584405055269599
1526394233.9087431,271,0.005839860532432795
1526394254.513495,272,0.005839403253048658
1526394274.9370952,273,0.005840967409312725
1526394295.412744,274,0.005841282662004232
1526394316.0885901,275,0.0058409241028130054
1526394336.5582178,276,0.0058417837135493755
1526394357.1159565,277,0.00583984050899744
1526394377.9469132,278,0.005842561833560467
1526394398.4235787,279,0.0058390735648572445
1526394419.0323532,280,0.00583726866170764
1526394439.4439435,281,0.005838281009346247
1526394459.634348,282,0.005841013044118881
1526394479.93784,283,0.0058378069661557674
1526394500.2233155,284,0.005837959237396717
1526394520.7089572,285,0.005839811637997627
1526394541.5979826,286,0.005840174853801727
1526394561.5011096,287,0.005837664939463139
1526394582.179943,288,0.005839997436851263
1526394603.0969937,289,0.005838453769683838
1526394623.014134,290,0.005837311968207359
1526394643.440754,291,0.005837918724864721
1526394663.3618975,292,0.005837962031364441
1526394683.826536,293,0.00583751080557704
1526394704.222096,294,0.005836872849613428
1526394724.6967437,295,0.005835721734911203
1526394745.4166148,296,0.005836076568812132
1526394765.9643285,297,0.005836392752826214
1526394786.4089656,298,0.005837816745042801
1526394806.6884186,299,0.00583944097161293
1526394827.193095,300,0.005838810931891203
1526394847.6717463,301,0.005833995528519154
1526394867.779075,302,0.005838342010974884
1526394887.9164002,303,0.005837391130626202
1526394908.5501919,304,0.005836221389472485
1526394928.6815429,305,0.00583726167678833
1526394948.6517148,306,0.005838891491293907
1526394969.4056172,307,0.005835887044668198
1526394989.8642507,308,0.005835055839270353
1526395009.9855764,309,0.005835932679474354
1526395030.3771484,310,0.005834523588418961
1526395050.489482,311,0.005836309865117073
1526395070.5987809,312,0.0058364346623420715
1526395091.030389,313,0.0058370474725961685
1526395111.6732063,314,0.005835774354636669
1526395132.42409,315,0.0058349426835775375
1526395152.8436875,316,0.005832087714225054
1526395173.090143,317,0.005834650248289108
